,Group,Bias_Magnitude
6,Oriental,0.15945340413644343
4,Asian,0.5615456538330313
1,African-American,-0.36660310683974956
3,Other,0.4915199357569447
5,Native American,-0.29712386009168834
2,Hispanic,0.2144654497337281
7,Arabic,0.3148768046636608
0,Caucasian,0.17934439178515008
