,Group,Bias_Magnitude
0,Single,-1.0916185587017928
1,Married,1.0590278134980864
3,Divorced,0.29106936062779176
5,Widowed,0.672590544832239
4,Separated,0.4282396885948893
6,Unknown,0.5009760920435328
2,Significant Other,0.18546041215128475
